test,label
What's the weather today?,weather
Play some relaxing music,music
What time is it?,time
How do you feel today?,greeting
I feel happy!,happy
I am upset.,sad
This is making me really angry!,angry
I'm so excited about going to Primary School!,excitement
I feel anxious about going to Primary School.,worried
I am scared.,scared
I'm scared about going to primary school.,anxious
What if I don’t make friends?,friendship
Will my teacher be nice?,teacher
What happens on the first day?,first_day
I don’t want to leave my friends.,separation
What if I get lost?,fear_of_getting_lost
I’m excited about learning!,excitement
Will I have to do hard work?,workload
What if I cry?,fear_of_tears
I’m worried about the big kids.,fear_of_bullies
